Company
American Retirement Corporation
ADE Corporation
Advanced Digital Information Corporation
Andrx Corporation
American Skiing Company
"Argonaut Group, Inc."
Agere Systems Inc.
Argosy Gaming Company
Aames Investment Corporation
Alabama National BanCorporation
American Classic Voyages
America Online Latin America
"Alamosa Holdings, Inc."
Applica Incorporated
Aspect Communications Corporation
"Artesyn Technologies, Inc."
Aztec Technology Partners
"Brookstone, Inc."
"BMC Industries, Inc."
Banta Corporation
Bracknell Corporation
"Bristol West Holdings, Inc."
Bayou Steel Corporation
C-COR Incorporated
CompuDyne Corporation
"Ceres Group, Inc"
Commercial Federal Corporation
Chittenden Corporation
"Compex Technologies, Inc."
"Commonwealth Telephone Enterprises, Inc."
"Capital Title Group, Inc."
Cytyc Corporation
"Dade Behring Holdings, Inc."
Digital Lighthouse Corp
"Docucorp International, Inc."
"Duratek, Inc."
"EA Industries, Inc."
"E-LOAN, Inc."
"Eglobe, Inc."
"Embrex, Inc."
e.spire Communications
"E-z-em, Inc."
"Family Golf Centers, Inc."
Frontline Capital Group
"FLYi, Inc."
"First Oak Brook Bancshares, Inc."
"Fresh Brands, Inc."
Greater Bay Bancorp
"Gold Banc Corporation, Inc."
Horizon Health Corporation
Hydril Co.
International Architectural Group LLC
ICOS Corporation
"Integrated Circuit Systems, Inc."
Identix Incorporated
Idx Systems Corporation
Interchange Financial Services Corp.
"Indus International, Inc."
"Ricoh USA, Inc."
Instinet Group Incorporated
Intermet Corporation
"InPhonic, Inc."
John Q. Hammons Hotels
Knape & Vogt Manufacturing
"Komag, Incorporated"
MBNA Corporation
"Kyphon Americas, Inc."
"LabOne, Inc."
The Liberty Corporation
"Learning Care Group, Inc."
Accredited Home Lenders Holding Co.
La Quinta Corporation
Luminant Worldwide Corp
Pitney Bowes MapInfo Corp.
McDATA Corporation
"McLeodUSA, Inc."
"MCSi, Inc."
Midway Airlines Corp.
"MITY Enterprises, Inc."
"Intermix Media, Inc."
"Matlack Systems, Inc."
"MatrixOne, Inc."
Mpower Holding Corp.
"MPW Industrial Service Group, Inc."
"MetaSolv, Inc."
"Metrologic Instruments, Inc."
"Metromedia International Group, Inc."
Micromuse Inc.
Metris Companies Inc.
Natural Wonders Inc.
Netcentives Inc.
"Neoforma, Inc."
BPO Management Services (BPOMS)
"National Med. Health Card Systems, Inc."
"NS Group, Inc."
"NetBank, Inc."
Net2000 Communications
"National Vision, Inc."
New Plan Excel Realty Tr.
"Optical Communication Products, Inc."
Omega Financial Corporation
Gibraltar Packaging Inc.
Phelps Dodge Corporation
"Paradyne Networks, Inc."
Priority Healthcare Corporation
"Pharmaceutical Formulations, Inc."
"Photon Dynamics, Inc."
Placer Sierra Bancshares
"Portal Software, Inc."
"Partners Trust Financial Group, Inc."
"Per-Se Technologies, Inc."
Animas Corporation
Providian Financial Corp
Pillowtex Corporation
"Plymouth Rubber Company, Inc."
"Quinton Cardiology Systems, Inc."
"Republic Bancorp, Inc."
"Register.com, Inc."
"RemedyTemp, Inc."
Respironics Inc.
The Reynolds & Reynolds Company
"Riverstone Networks, Inc."
"Rent-Way, Inc."
"Fresh Choice, Inc."
"Saxon Capital, Inc."
"SBS Technologies, Inc."
"Scient, Inc."
"Saucony, Inc."
Serologicals Corporation
"SafeGuard Health Enterprises, Inc."
State Financial Services Corporation
"Sky Financial Group, Inc."
Smithway Motor Xpress
Specialty Laboratories
"SSA Global Technologies, Inc."
"SS&C Technologies, Inc."
"Sport Supply Group, Inc."
"Stellent, Inc."
Intellisync Corporation
TALX Corporation
TB Wood's Incorporated
Intrado Inc.
"Triad Hospitals, Inc."
Telscape Usa Inc
"Ultimate Electronics, Inc."
UbiquiTel Inc.
"Viasys Healthcare, Inc."
Sight Resource Corporation
"Vital Signs, Inc."
Valley National Gases Incorporated
"Verity, Inc."
"Woodhead Industries, Inc."
WatchGuard Technologies
"Washington Mutual, Inc."
Western Sierra Bancorp
Warrantech Corporation
Yardville National Bancorp
York International Corporation
"CBOT Holdings, Inc."
Cognos Inc.
Falconbridge Ltd.
Fairmont Hotels & Resorts Inc. (USA)
Intrawest Corporation (USA)
Moldflow Corporation
Main Street Trust Inc.
Inco Limited (USA)
Royal Group Technologies Limited (USA)
Teleglobe International Holdings Ltd.
Tommy Hilfiger Corporation
Unibanco - Uniao Bancos Brasileiros SA
C.A. Nac. Telefonos de Venezuela (ADR)
"Ansoft, LLC"
FNB Financial Services Corporation
Geac Computer Corporation Limited
NEON Communications Group Inc.
Hummingbird Ltd. (USA)
International Leisure Hosts Ltd
Inforte Corp.
Essex Corporation
Laserscope
"MarkWest Hydrocarbon, Inc."
National Atlantic Holdings Corporation
"Netopia, Inc."
Onyx Software Corporation
Opsware Inc.
"PennFed Financial Services, Inc."
"Packeteer, Inc."
"PortalPlayer, Inc."
"Possis Medical, Inc."
PrimeWest Energy Trust
Quintus Corporation
"RITA Medical Systems, Inc."
"Greenfield Online, Inc."
"Trans Global Services, Inc."
Tumbleweed Communications Corp.
Triton Network Systems Inc
"TriPath Imaging, Inc."
"Traffic.com, Inc."
"Tutogen Medical, Inc."
Virbac Corporation
"vFinance, Inc."
"Yak Communications, Inc."
Bradco Supply Corporation
"Houghton Mifflin Holding Company, Inc."
Elscint Limited
Centrue Financial Corporation
Radica Games Limited
STATS ChipPAC Ltd.
Puma AG Rudolf Dassler Sport (ADR)
Aur Resources Inc.
Stratos Global Corporation
Stelco Inc.
"A.L. Van Houtte, Inc."
FPI Limited
Canbras Communications Corp.
NQL Energy Services Inc.
Cambridge Antibody Tech. Group plc (ADR)
NBS Technologies Inc.
Sico Inc.
Atlas Cold Storage Trust
Acambis plc (ADR)
Genesys S.A.
PRT Forest Regeneration Income Fund
C.A. La Electricidad de Caracas
Arthur Lange SA Industria e Comercio
Dixie Toga SA
DHB Industria e Comercio SA
Cti SA
Embotelladoras Coca-Cola Polar S.A.
TAM SA
North American Tungsten Corporation Ltd.
Meridian Gold Inc.
Protherics PLC (ADR)
British American Tobacc dl Peru Hldgs SA
Hovensa LLC
"Advance Brands, L.L.C."
Round Rock Medical Center
"Janssen, L.P."
Stripestar Limited
T-Mobile International AG & Co. KG
Superquinn Limited
Oddbins Limited
"Vistakon, Inc."
ENSR International Corporation
Masius
Bromley Communications LLC
"Bath & Body Works, LLC"
Fireman's Fund Insurance Company
Gates McDonald & Company
Asahi Kasei Spandex Europe GmbH
Comex Group
"Mast Industries, Inc."
Prescription Solutions
"Macsteel Service Centers USA, Inc."
